N	M	R_coefficient	Q_coefficient
19	9	2.256300341789345e-12	-2.098928250240988e-12
19	10	1.957134467510643e-14	-3.6754696458711305e-13
19	11	1.9695390683302593e-12	-1.969031897244996e-12
19	12	4.878053711795914e-13	1.877742894881313e-12
19	13	-2.2553135121803905e-13	2.60452981106254e-13
19	14	-1.1114255205176134e-12	9.619422284706983e-13
19	15	-1.647330105386634e-13	5.776754066898997e-14
19	16	-2.26943853205722e-13	4.314451408061059e-12
19	17	-3.531554167547984e-12	-2.956601395502724e-12
19	18	2.477131649029707e-12	-2.5458504290980777e-12
19	19	1.1372670303253883e-12	2.6559529940734948e-12
20	0	-9.753148606328667e-13	0.0
20	1	3.9169625352877763e-13	-2.499280349474281e-12
20	2	1.3382728841481137e-12	-5.244073859001333e-13
20	3	-7.447421600642104e-13	-1.657245929926218e-12
20	4	8.896274329538175e-13	1.044407397276531e-12
20	5	1.154482745190191e-13	-2.2336817998752097e-12
20	6	3.967584095092233e-13	1.7629182577962358e-12
20	7	-1.2807467438881528e-12	-4.709583461264538e-13
20	8	-1.353484809798389e-12	1.001746425343191e-12
20	9	1.472405797916415e-12	-2.801114822009037e-12
20	10	-8.376116641411611e-13	-2.0474852324084508e-12
20	11	-2.1843670493676243e-12	-2.5336787856645895e-12
20	12	2.3210980703901947e-12	1.4132145873854062e-12
20	13	1.6001464050457041e-12	1.722400179237194e-13
20	14	-1.7568999469118923e-12	-5.210958583080314e-13
20	15	-3.297325880939701e-12	-2.8102914784053195e-13
20	16	7.332263826956296e-14	3.3599015139141983e-13
20	17	1.6396654983384937e-12	1.3965281054181552e-12
20	18	7.924753737880246e-13	-6.938384116976561e-13
20	19	8.650783060265126e-14	-8.79116860983371e-14
20	20	-3.432031691607083e-13	1.3471957306218203e-12
21	0	2.977241541811771e-13	0.0
21	1	-4.3291386583963295e-13	-1.8664440259065182e-12
21	2	2.245344586629673e-12	-8.578705396749494e-13
21	3	-2.2426954646491214e-13	-8.160197858967268e-13
21	4	9.19346208378112e-13	1.5121819063768056e-12
21	5	-3.009607215249682e-13	-9.806049907472045e-13
21	6	1.969766813954303e-12	-8.546298843108259e-13
21	7	-1.3139709643324466e-12	-1.0866055159937443e-12
21	8	-1.8582614114459857e-13	4.63775350169354e-13
21	9	-1.7811706680171322e-13	-1.3592838593633594e-12
21	10	6.614117280468275e-13	-1.5362597344261565e-12
21	11	-4.148693288883533e-12	2.974018337096759e-13
21	12	9.760568274172956e-13	2.332166533144368e-13
21	13	1.2218460897015083e-12	9.214017030465804e-13
21	14	2.4693704995401545e-12	9.755437549280134e-13
21	15	-2.8813509883071063e-12	5.931581575528822e-13
21	16	4.867610849698069e-13	-1.6577781514655572e-12
21	17	1.3758969049094208e-12	8.662712718163127e-13
21	18	1.7337159308067278e-12	-3.529166246186137e-13
21	19	1.061081463506034e-12	2.152763232881114e-12
21	20	-1.2434976378607852e-12	1.60142247738662e-12
21	21	-1.9161515921745398e-13	1.1295195825002354e-12
22	0	1.1758223429159447e-12	0.0
22	1	5.704856876893108e-13	8.440841190151688e-13
22	2	7.542352373147946e-13	-1.3074530201036782e-12
22	3	3.805943851600821e-13	-7.972443884396385e-14
22	4	4.060147058613345e-13	6.620356137860945e-13
22	5	-1.4362759966658738e-12	7.450329025244336e-13
22	6	1.9880822522925935e-12	-1.0372340797915787e-12
22	7	-5.092491982439215e-13	-1.1782894940339842e-12
